random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate
7476,y,8.901835,w,9.41684,m,0,7.32238,,0,0,0,40,1,cmp_mountain_003_cow_001,S4_mountain_003_cow_001.jpg,0,blank.png,blank.png,cow77.png,cow241.png,cow192.png,cow256.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,0,2.901565,,0,1,1,18,1,cmp_building_052_bird_008,S2_building_052_bird_008.jpg,1,bird936.png,bird936.png,bird927.png,bird935.png,bird938.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,0,2.61735,,0,2,2,103,1,cmp_shelves_014_bottle_003,S8_shelves_014_bottle_003.jpg,1,bottle244.png,bottle244.png,bottle465.png,bottle409.png,bottle197.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,1.59694,,0,3,3,95,1,cmp_mountain_013_bird_001,S4_mountain_013_bird_001.jpg,0,blank.png,blank.png,bird152.png,bird403.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,1,2.051515,,0,4,4,33,1,cmp_shelves_039_book_012,S4_shelves_039_book_012.jpg,1,book1310.png,book1310.png,book1064.png,book1213.png,book172.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,0,3.153595,,0,5,5,53,1,cmp_building_046_sheep_001,S4_building_046_sheep_001.jpg,0,blank.png,blank.png,sheep1453.png,sheep1556.png,sheep224.png,sheep1458.png,sheep1754.png,sheep1748.png,sheep1843.png,sheep238.png,0,4,8,8,7,v,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,1,2.498875,,0,6,6,83,1,cmp_field_006_farmanimals_006,S4_field_006_farmanimals_006.jpg,1,sheep386.png,sheep386.png,cow128.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,3.48781,,0,7,7,9,1,cmp_building_026_person_012,S1_building_026_person_012.jpg,0,blank.png,blank.png,person150.png,person390.png,person137.png,person140.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,1,2.206415,,0,8,8,102,1,cmp_building_003_person_001,S8_building_003_person_001.jpg,1,stm_building_003_person_001_005.png,stm_building_003_person_001_005.png,stm_building_003_person_001_013.png,stm_building_003_person_001_020.png,stm_building_003_person_001_014.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,2.84884,,0,9,9,51,1,cmp_shelves_023_teddybear_004,S4_shelves_023_teddybear_004.jpg,0,blank.png,blank.png,teddy bear487.png,teddy bear517.png,teddy bear521.png,teddy bear555.png,teddy bear637.png,teddy bear762.png,teddy bear725.png,teddy bear755.png,1,4,8,8,7,v,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,2.230375,,0,10,10,36,1,cmp_field_001_farmanimals_007,S4_field_001_farmanimals_007.jpg,0,blank.png,blank.png,cow375.png,cow361.png,horse620.png,sheep317.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,1.60078,,0,11,11,77,1,cmp_shelves_043_toys_002,S4_shelves_043_toys_002.jpg,0,blank.png,blank.png,car138.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,0,1.03385,,0,12,12,32,1,cmp_shelves_032_book_005,S4_shelves_032_book_005.jpg,1,book466.png,book466.png,book22.png,book23.png,book513.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,0,2.474055,,0,13,13,100,1,cmp_shelves_016_cup_001,S8_shelves_016_cup_001.jpg,1,cup406.png,cup406.png,cup356.png,cup636.png,cup677.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,,0,,,0,14,14,46,1,cmp_jungle_001_bird_001.jpg,S4_jungle_001_bird_001.jpg,1,stm_jungle_001_bird_001_007.png,stm_jungle_001_bird_001_007.png,stm_jungle_001_bird_001_010.png,stm_jungle_001_bird_001_015.png,stm_jungle_001_bird_001_005.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,1.27893,,0,15,15,8,1,cmp_shelves_026_vase_002,S1_shelves_026_vase_002.jpg,0,blank.png,blank.png,vase179.png,vase975.png,vase1032.png,vase556.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,1,1.69513,,0,16,16,34,1,cmp_building_001_dog_001,S4_building_001_dog_001.jpg,1,stm_builging_001_dog_001_010.png,stm_builging_001_dog_001_010.png,stm_builging_001_dog_001_006.png,stm_builging_001_dog_001_012.png,stm_builging_001_dog_001_015.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,1.33818,,0,17,17,50,1,cmp_shelves_038_book_011,S4_shelves_038_book_011.jpg,0,blank.png,blank.png,book546.png,book620.png,book1262.png,book634.png,book633.png,book1096.png,book1261.png,book1265.png,1,4,8,8,7,v,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,1,1.14975,,0,18,18,70,1,cmp_shelves_049_toys_008,S4_shelves_049_toys_008.jpg,1,truck627.png,truck627.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,602052,26,2020-08-16_21h23.57.550,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
