random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate
4061,y,1.74484,m,1.831145,m,1,2.16718,,0,0,0,56,1,cmp_shelves_027_vase_003,S4_shelves_027_vase_003.jpg,1,vase549.png,vase549.png,vase127.png,vase136.png,vase162.png,vase330.png,vase602.png,vase640.png,vase654.png,blank.png,1,4,8,8,7,m,701522,23,2020-08-05_10h49.09.527,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,2.099285,,0,1,1,36,1,cmp_field_001_farmanimals_007,S4_field_001_farmanimals_007.jpg,0,blank.png,blank.png,cow375.png,cow361.png,horse620.png,sheep317.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,701522,23,2020-08-05_10h49.09.527,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,2.261145,,0,2,2,73,1,cmp_jungle_009_bird_009,S4_jungle_009_bird_009.jpg,0,blank.png,blank.png,bird435.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,701522,23,2020-08-05_10h49.09.527,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,3.45362,,0,3,3,40,1,cmp_mountain_003_cow_001,S4_mountain_003_cow_001.jpg,0,blank.png,blank.png,cow77.png,cow241.png,cow192.png,cow256.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,701522,23,2020-08-05_10h49.09.527,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,3.222095,,0,4,4,88,1,cmp_building_014_person_007,S4_building_014_person_007.jpg,0,blank.png,blank.png,person120.png,person198.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,701522,23,2020-08-05_10h49.09.527,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,2.680245,,0,5,5,23,1,cmp_mountain_009_horse _001,S2_mountain_009_horse _001.jpg,0,blank.png,blank.png,horse1643.png,horse1105.png,horse1725.png,horse1447.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,701522,23,2020-08-05_10h49.09.527,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,1,3.08468,,0,6,6,63,1,cmp_building_041_dog_009,S4_building_041_dog_009.jpg,1,dog583.png,dog583.png,dog301.png,dog446.png,dog447.png,dog461.png,dog475.png,dog541.png,dog562.png,blank.png,0,4,8,8,7,m,701522,23,2020-08-05_10h49.09.527,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,1.728645,,0,7,7,14,1,cmp_shelves_035_book_008,S1_shelves_035_book_008.jpg,0,blank.png,blank.png,book271.png,book113.png,book484.png,book429.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,701522,23,2020-08-05_10h49.09.527,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,1,1.925075,,0,8,8,83,1,cmp_field_006_farmanimals_006,S4_field_006_farmanimals_006.jpg,1,sheep386.png,sheep386.png,cow128.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,701522,23,2020-08-05_10h49.09.527,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,1,1.840045,,0,9,9,58,1,cmp_jungle_007_bird_007,S4_jungle_007_bird_007.jpg,1,bird207.png,bird207.png,bird195.png,bird232.png,bird242.png,bird246.png,bird278.png,bird294.png,bird310.png,blank.png,1,4,8,8,7,m,701522,23,2020-08-05_10h49.09.527,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
